N ;K ;Answer First ;Time First ;;Answer Second ;Time Second 
32;23;If a person plays optimally, he will win;1.343;;If a person plays optimally, he will win;0.001
32;24;If a person plays optimally, he will win;1.556;;If a person plays optimally, he will win;0.001
32;25;If a person plays optimally, he will win;2.162;;If a person plays optimally, he will win;0.001
32;26;If a person plays optimally, he will win;1.915;;If a person plays optimally, he will win;0.002
32;27;If a person plays optimally, he will win;1.831;;If a person plays optimally, he will win;0.001
32;28;If a person plays optimally, he will win;1.676;;If a person plays optimally, he will win;0
32;29;If a person plays optimally, he will win;1.659;;If a person plays optimally, he will win;0
32;30;If a person plays optimally, he will win;1.682;;If a person plays optimally, he will win;0.001
32;31;If a person plays optimally, he will win;1.921;;If a person plays optimally, he will win;0
32;32;If a person plays optimally, he will win;1.921;;If a person plays optimally, he will win;0.001
33;2;The computer win;2.158;;The computer win;0
33;3;If a person plays optimally, he will win;3.452;;If a person plays optimally, he will win;0
33;4;If a person plays optimally, he will win;2.403;;If a person plays optimally, he will win;0
33;5;If a person plays optimally, he will win;2.224;;If a person plays optimally, he will win;0
33;6;If a person plays optimally, he will win;2.247;;If a person plays optimally, he will win;0
33;7;If a person plays optimally, he will win;2.205;;If a person plays optimally, he will win;0
33;8;If a person plays optimally, he will win;2.299;;If a person plays optimally, he will win;0
33;9;If a person plays optimally, he will win;2.484;;If a person plays optimally, he will win;0
33;10;If a person plays optimally, he will win;2.734;;If a person plays optimally, he will win;0
33;11;If a person plays optimally, he will win;2.508;;If a person plays optimally, he will win;0
33;12;If a person plays optimally, he will win;2.499;;If a person plays optimally, he will win;0
33;13;If a person plays optimally, he will win;2.447;;If a person plays optimally, he will win;0.001
33;14;If a person plays optimally, he will win;2.632;;If a person plays optimally, he will win;0
33;15;If a person plays optimally, he will win;2.394;;If a person plays optimally, he will win;0
33;16;If a person plays optimally, he will win;2.659;;If a person plays optimally, he will win;0
33;17;If a person plays optimally, he will win;2.729;;If a person plays optimally, he will win;0
33;18;If a person plays optimally, he will win;3.051;;If a person plays optimally, he will win;0
33;19;If a person plays optimally, he will win;2.703;;If a person plays optimally, he will win;0.001
33;20;If a person plays optimally, he will win;3.335;;If a person plays optimally, he will win;0.001
33;21;If a person plays optimally, he will win;4.317;;If a person plays optimally, he will win;0
33;22;If a person plays optimally, he will win;3.456;;If a person plays optimally, he will win;0.006
33;23;If a person plays optimally, he will win;3.443;;If a person plays optimally, he will win;0
33;24;If a person plays optimally, he will win;2.911;;If a person plays optimally, he will win;0
33;25;If a person plays optimally, he will win;2.886;;If a person plays optimally, he will win;0
